=== PHASE 1 start: 750 candidats bruts ===
KEEP 252 489637207 SAS M.G.S. (SALLES D'ANGLES, tranche 11)
KEEP 253 318621497 SPORT NEIGE COMPETITION INTERNATIONAL (CHARVONNEX, tranche 11)
KEEP 254 444839450 TRACER ATLANTIC (CARQUEFOU, tranche 11)
KEEP 255 522963776 FROID CLIMATISATION CHAUFFAGE (F.C.C.) (SOCHAUX, tranche 11)
KEEP 256 419238373 NORD BRODERIE (NEUVILLE-EN-FERRAIN, tranche 11)
KEEP 257 335074555 SOCIETE DE CHARPENTES INDUSTRIALISEES POUR LE (CHEVIGNY-SAINT-SAUVE, tranche 11)
KEEP 258 828604454 KUK COILS FRANCE (BITSCHWILLER-LES-THA, tranche 11)
KEEP 259 498720846 FONDERIE TRINQUET (VILLEURBANNE, tranche 12)
KEEP 260 421622077 FONDERIE SCHLUMBERGER (GUEBWILLER, tranche 12)
KEEP 261 485920128 FONDERIES DE VAUCOULEURS SA (VAUCOULEURS, tranche 12)
KEEP 262 561920372 FONDERIE DE LA SCARPE SA (SAINT-LAURENT-BLANGY, tranche 12)
KEEP 263 532582319 FONDERIES VIGNON (HARAUCOURT, tranche 12)
KEEP 264 789925260 FONDERIES NICOLAS (FONDERIES NICOLAS) (NOUZONVILLE, tranche 12)
KEEP 265 835780164 FONDERIES DE SOUGLAND (SAINT-MICHEL, tranche 12)
KEEP 266 308268986 FONDERIE DE GENTILLY (RIS ORANGIS, tranche 12)
KEEP 267 445344492 FONDERIE ACMS (SAINT-DIDIER-SUR-CHA, tranche 12)
KEEP 268 400618179 LAJOINIE FONDERIE (SAINT-OUEN, tranche 12)
KEEP 269 725720551 FONDERIE MATHIEU (CHAMPFORGEUIL, tranche 12)
KEEP 270 996250114 FONDERIES FRAISSE (AUBUSSON, tranche 12)
